source,target,window_type,start,end,duration_sec,latency_total_ms,latency_rtt_ms,throughput_mbps,utilization_percent,mode
STARLINK-5123,HSINCHU,cmd,2025-10-08T00:15:30+00:00,2025-10-08T00:23:45+00:00,495.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,TAIPEI,xband,2025-10-08T00:24:00+00:00,2025-10-08T00:31:20+00:00,440.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,TAIPEI,cmd,2025-10-08T01:45:00+00:00,2025-10-08T01:54:30+00:00,570.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,HSINCHU,xband,2025-10-08T01:55:00+00:00,2025-10-08T02:07:15+00:00,735.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,HSINCHU,cmd,2025-10-08T02:30:15+00:00,2025-10-08T02:39:00+00:00,525.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAIPEI,xband,2025-10-08T02:39:30+00:00,2025-10-08T02:48:45+00:00,555.0,8.91,17.82,40.0,80.0,transparent
GPS-IIF-12,HSINCHU,cmd,2025-10-08T03:00:00+00:00,2025-10-08T03:45:00+00:00,2700.0,8.91,17.82,40.0,80.0,transparent
GPS-IIF-12,KAOHSIUNG,xband,2025-10-08T03:45:30+00:00,2025-10-08T04:15:00+00:00,1770.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,TAIPEI,cmd,2025-10-08T04:20:30+00:00,2025-10-08T04:28:15+00:00,465.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,HSINCHU,xband,2025-10-08T04:28:45+00:00,2025-10-08T04:35:20+00:00,395.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,KAOHSIUNG,cmd,2025-10-08T05:15:45+00:00,2025-10-08T05:24:00+00:00,495.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,TAINAN,xband,2025-10-08T05:24:30+00:00,2025-10-08T05:33:15+00:00,525.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,KAOHSIUNG,cmd,2025-10-08T06:42:15+00:00,2025-10-08T06:51:30+00:00,555.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,TAINAN,xband,2025-10-08T06:52:00+00:00,2025-10-08T06:59:45+00:00,465.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,TAICHUNG,cmd,2025-10-08T08:12:20+00:00,2025-10-08T08:20:45+00:00,505.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,HUALIEN,xband,2025-10-08T08:21:00+00:00,2025-10-08T08:28:30+00:00,450.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAINAN,cmd,2025-10-08T09:15:45+00:00,2025-10-08T09:24:20+00:00,515.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,HUALIEN,cmd,2025-10-08T10:45:00+00:00,2025-10-08T10:53:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,TAICHUNG,cmd,2025-10-08T11:30:20+00:00,2025-10-08T11:38:45+00:00,505.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,TAIPEI,xband,2025-10-08T11:39:00+00:00,2025-10-08T11:47:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,HSINCHU,cmd,2025-10-08T12:00:00+00:00,2025-10-08T12:08:00+00:00,480.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,TAIPEI,cmd,2025-10-08T12:01:30+00:00,2025-10-08T12:09:45+00:00,495.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,KAOHSIUNG,cmd,2025-10-08T12:02:15+00:00,2025-10-08T12:10:30+00:00,495.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,TAIPEI,xband,2025-10-08T12:11:00+00:00,2025-10-08T12:18:30+00:00,450.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0234,HSINCHU,xband,2025-10-08T12:12:00+00:00,2025-10-08T12:20:15+00:00,495.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAINAN,xband,2025-10-08T12:13:00+00:00,2025-10-08T12:21:45+00:00,525.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,HSINCHU,cmd,2025-10-08T18:30:00+00:00,2025-10-08T18:38:45+00:00,525.0,8.91,17.82,40.0,80.0,transparent
STARLINK-7891,TAIPEI,xband,2025-10-08T18:39:15+00:00,2025-10-08T18:47:00+00:00,465.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,KAOHSIUNG,cmd,2025-10-08T19:15:30+00:00,2025-10-08T19:24:15+00:00,525.0,8.91,17.82,40.0,80.0,transparent
ONEWEB-0567,TAINAN,xband,2025-10-08T19:24:45+00:00,2025-10-08T19:32:30+00:00,465.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,TAIPEI,cmd,2025-10-08T20:45:00+00:00,2025-10-08T20:53:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
IRIDIUM-NEXT-108,HSINCHU,xband,2025-10-08T20:54:00+00:00,2025-10-08T21:02:15+00:00,495.0,8.91,17.82,40.0,80.0,transparent
GPS-IIF-12,TAICHUNG,cmd,2025-10-08T22:00:15+00:00,2025-10-08T22:35:45+00:00,2130.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,HUALIEN,cmd,2025-10-08T23:15:00+00:00,2025-10-08T23:23:30+00:00,510.0,8.91,17.82,40.0,80.0,transparent
STARLINK-5123,TAIPEI,xband,2025-10-08T23:24:00+00:00,2025-10-08T23:31:45+00:00,465.0,8.91,17.82,40.0,80.0,transparent
